x1,x2,y
15.0,4.386,0.772
15.0,3.855,0.707
15.0,5.31,0.778
15.0,4.865,0.777
15.0,4.949,0.779
15.0,5.098,0.781
30.6,5.655,0.652
30.6,3.708,0.59
30.6,4.99,0.657
30.6,5.81,0.659
30.6,5.176,0.65
30.6,4.83,0.654
60.0,4.665,0.507
60.0,4.58,0.493
60.0,5.312,0.551
60.0,5.748,0.558
60.0,4.74,0.517
60.0,3.996,0.507
126.0,5.97,0.449
126.0,5.798,0.45
126.0,3.715,0.576
126.0,4.76,0.4
126.0,5.501,0.447
126.0,5.56,0.45
252.0,5.58,0.3551
252.0,5.623,0.3602
252.0,4.507,0.3636
252.0,4.279,0.4349
252.0,4.916,0.3222
252.0,5.173,0.3197
507.0,4.94,0.278
507.0,4.851,0.292
507.0,4.69,0.324
507.0,5.303,0.25
507.0,4.462,0.381
507.0,5.534,0.26
